WatchNumber,numberStation,cabinNumber,timeStop,timeNow
483,19-ЧЗГ,75-ГАМ,6:4:22,8:4:22
484,12-ZNH,69-KJZ,13:0:44,19:0:44
485,29-JHC,70-СХЙ,10:2:54,11:2:54
486,34-ILL,67-NJF,14:11:40,17:11:40
487,49-ЬВН,80-ГАЧ,22:55:45,7:55:45
488,49-DPH,51-AFJ,4:39:45,13:39:45
489,34-УФЭ,96-TJU,2:50:49,11:50:49
490,5-ЭОЙ,50-XUZ,15:3:41,20:3:41
491,43-KSJ,97-PGY,2:11:23,4:11:23
492,10-СЫЫ,69-QAL,3:16:23,11:16:23
493,32-ZIY,85-РРИ,16:17:42,1:17:42
494,22-ЭБФ,78-GWT,16:37:10,19:37:10
495,36-ЩЭЩ,92-OJB,19:12:49,20:12:49
496,49-ДОТ,91-TFK,18:15:56,21:15:56
497,18-YTV,76-WTF,17:21:16,19:21:16
498,6-ОЩО,70-ДОЧ,12:5:49,21:5:49
499,39-TBG,72-БСТ,6:11:53,14:11:53
